local oaci iata tipo denominacion coordenadas latitud longitud elev uom_elev ref distancia_ref direccion_ref condicion control region fir uso trafico sna concesionado provincia inhab
"ARS SAVR ARR Aeródromo ALTO RÍO SENGUERR/D. C. SZLAPELIS 45° 0'48""S  70°48'46""W -70,81282 -45,0132 697 Metros Alto Río Senguerr 3 N PUBLICO AERADIO RASU SACF CIVIL Nacional NO NO CHUBUT NO"
"ARY Aeródromo ARROYITO/ARCOR 31°25'20""S  63° 0'18""W -63,005 -31,42222222 148 Metros Arroyito 4 E PUBLICO NOCONTROL RANO SACF CIVIL Nacional NO NO CÓRDOBA NO"
"ATE Aeródromo ZÁRATE 34° 7' 6""S  59° 4'58""W -59,08266 -34,11829 26 Metros Zárate 6 SO PUBLICO NOCONTROL RACE SAEF Nacional NO NO BUENOS AIRES NO"
"ATN Aeródromo TRENQUE LAUQUEN/LA ARGENTINA 35°59'52""S  62°42'23""W -62,70635 -35,99773 95 Metros Trenque Lauquen 2 SE PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"AUL Aeródromo AMEGHINO/AUGUSTO LEGUIZAMÓN 34°49' 5""S  62°28'38""W -62,47709 -34,81797 109 Metros Florentino Ameghino 3 NNO PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"AVA Aeródromo ALVEAR/AEROPARQUE ROSARIO 33° 2'49""S  60°35'51""W -60,59756 -33,04691 26 Metros Alvear 2,5 ENE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO SANTA FÉ NO"
"AVL Aeródromo AVELLANEDA/PRESIDENTE AVELLANEDA 29° 6'22""S  59°39'27""W -59,6575 -29,10611111 45 Metros Avellaneda 1 N PUBLICO NOCONTROL RANE SARR CIVIL Nacional NO NO SANTA FÉ NO"
"AYA Aeródromo AYACUCHO 37° 9'45""S  58°28'23""W -58,47305556 -37,1625 77 Metros Ayacucho 0,9 SE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BAD Aeródromo BERÓN DE ASTRADA/DINALUCA S.A. 27°22'58""S  57°38'39""W -57,64416667 -27,38277778 67 Metros Berón de Astrada 21 NNO PRIVADO NOCONTROL RANE SARR CIVIL Nacional NO NO CORRIENTES NO"
"BAI Aeródromo LAGO BUENOS AIRES 46°34'34""S  70°56'53""W -70,94805556 -46,57611111 387 Metros Perito Moreno 2,5 NNO PRIVADO NOCONTROL RASU SAVF CIVIL Nacional NO NO SANTA CRUZ NO"
"BAL Aeródromo BALCARCE 37°54'55""S  58°20'37""W -58,34361111 -37,91527778 120 Metros Balcarce 12 S PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BAR SAZS BRC Aeródromo SAN CARLOS DE BARILOCHE 41° 9' 4""S  71° 9'28""W -71,15777778 -41,15111111 846 Metros San Carlos de Bariloche 13 E PUBLICO CONTROL RACE SAEF Internacional SI SI RÍO NEGRO NO"
"BAS Aeródromo BASAVILBASO 32°21'42""S  58°52'54""W -58,8816 -32,3616 60 Metros Basavilbaso 1 NO PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO ENTRE RÍOS NO"
"BCA SAZB BHI Aeródromo BAHÍA BLANCA/COMANDANTE ESPORA 38°43'39""S  62° 9'12""W -62,15333333 -38,7275 75 Metros Bahía Blanca 10 E PUBLICO CONTROL RACE SAEF JOINT Nacional SI NO BUENOS AIRES NO"
"BDO Aeródromo BARADERO 33°49'16""S  59°29'34""W -59,49279 -33,82122 29 Metros Baradero 1,5 NO PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BDR Aeródromo BAHÍA DORADA 41°50'34""S  65° 4'56""W -65,08222222 -41,84277778 36 Metros Sierra Grande 35 SE PRIVADO NOCONTROL RASU SAVF CIVIL Nacional NO NO RÍO NEGRO NO"
"BEL Aeródromo BELL VILLE 32°39'30""S  62°42' 7""W -62,70194444 -32,65833333 131 Metros Bell Ville 2,5 SSO PUBLICO NOCONTROL RANO SACF CIVIL Nacional NO NO CÓRDOBA NO"
"BEX Aeródromo BARADERO 33°51'31""S  59°28' 9""W -59,46911 -33,85864 26 Metros Pueblo Alsina 9 NO PRIVADO NOCONTROL RACE SAEF ULM Nacional NO NO BUENOS AIRES NO"
"BHB Aeródromo BAHÍA BLANCA/AEROCLUB 38°40'19""S  62°21' 9""W -62,3525 -38,67194444 15 Metros Bahía Blanca 9 NO PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BHT Aeródromo BRAGADO/HARAS TRELLIRIS 35°19'53""S  60°34'44""W -60,57884 -35,33147 60 Metros Bragado 12 S PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BIO SAWT RYO Aeródromo EL TURBIO/28 DE NOVIEMBRE 51°36'18""S  72°13'13""W -72,22034 -51,60502 273 Metros El Turbio 10 ONO PUBLICO AERADIO RASU SAVF CIVIL Nacional SI NO SANTA CRUZ NO"
"BLA Aeródromo BALCARCE/EA. LA ALBORADA 37°27'46""S  58°11'18""W -58,18833333 -37,46277778 64 Metros Balcarce 43 NNE PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BLC Aeródromo BALCARCE/EA. LOS CARDOS 37°44' 7""S  58° 2'18""W -58,03821 -37,73529 120 Metros Balcarce 21 NE PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BLE Aeródromo BALCARCE/EA. LA ESTRELLA 37°33'34""S  58°39'58""W -58,66611111 -37,55944444 139 Metros Balcarce 53 N PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BLL Aeródromo MIRAMAR/LAS CORTADERAS 38°21'17""S  58° 6'31""W -58,10861111 -38,35472222 16 Metros Mechongue 25 SE PRIVADO NOCONTROL RACE SAEF Nacional NO NO BUENOS AIRES NO"
"BLN Aeródromo LONDRES/BELÉN 27°42'29""S  67° 5'42""W -67,095 -27,70805556 1200 Metros Belén 2 NE PRIVADO NOCONTROL RANO SACF Nacional NO NO CATAMARCA NO"
"BLR SAZI Aeródromo BOLIVAR 36°11'12""S  61° 4'33""W -61,07583333 -36,18666667 94 Metros San Carlos de Bolivar 6 NNE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BMO Aeródromo BRAGADO/MALFATO 35° 9' 6""S  60°30'20""W -60,50555556 -35,15166667 57 Metros Bragado 4 SO PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"BOE Aeródromo MORTEROS/AEROBOERO 30°43'51""S  62° 0'29""W -62,00809 -30,73091 96 Metros Morteros 1 S PUBLICO NOCONTROL RANO SACF Nacional NO NO CÓRDOBA NO"
"BOG Aeródromo CORONEL BOGADO/FUMIGACIONES CAMPAGNUCCI 33°19'27""S  60°39'58""W -60,66617 -33,32404 48 Metros Coronel Bogado 6 O PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO SANTA FÉ NO"
"BOL SAVB EHL Aeródromo EL BOLSÓN 41°56'36""S  71°31'56""W -71,53215 -41,94323 348 Metros El Bolsón 0 Lindando PUBLICO AERADIO RASU SAVF CIVIL Nacional NO NO RÍO NEGRO NO"
"BOM Aeródromo BOMBAL/GRAN ANCONA 33°26'19""S  61°18'12""W -61,30323 -33,43852 97 Metros Bombal 3 NE PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO SANTA FÉ NO"
"BOS Aeródromo LOBOS 35°12'39""S  59° 8'12""W -59,13666667 -35,21083333 29 Metros Lobos 3 SO PUBLICO NOCONTROL RACE SAEF Nacional NO NO BUENOS AIRES NO"
"BPS Aeródromo BRINKMANN/PABLO SIERRA AEROAPLICACIONES 30°55'46""S  62° 3' 2""W -62,05055556 -30,92944444 100 Metros Brinckmann 6,5 SSO PRIVADO NOCONTROL RANO SACF AEROAPP Nacional NO NO CÓRDOBA NO"
"BRA Aeródromo BRAGADO 35° 8'43""S  60°28'55""W -60,48194444 -35,14527778 60 Metros Bragado 2 SSE PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BRF Aeródromo BAHÍA BLANCA/LA REFORMA 38°43'50""S  63°17'14""W -63,28722 -38,7305 67 Metros Bahía Blanca 88 O PRIVADO NOCONTROL RASU SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"BRQ Aeródromo BUTA RANQUIL/EL PORTÓN 37°11'42""S  69°36'35""W -69,60972222 -37,195 870 Metros Buta Ranquil 22 SE PRIVADO NOCONTROL RACE SAMF CIVIL Nacional NO NO NEUQUÉN NO"
"BTA Aeródromo BELLA VISTA 28°31'34""S  59° 2'17""W -59,03805556 -28,52611111 55 Metros Bella Vista 0 Lindando PUBLICO NOCONTROL RANE SARR CIVIL Nacional NO NO CORRIENTES NO"
"BTS Aeródromo CORRAL DE BUSTOS 33°16'53""S  62° 9' 5""W -62,15138889 -33,28138889 120 Metros Corral de Bustos 2 O PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO CÓRDOBA NO"
"CAF Aeródromo CAFAYATE 26° 3'51""S  65°55'50""W -65,93055556 -26,06416667 1639 Metros Cafayate 1 NO PRIVADO NOCONTROL RANO SACF CIVIL Nacional NO NO SALTA NO"
"CAL Aeródromo CAMPO ARENAL 27° 4'20""S  66°35'11""W -66,58638889 -27,07222222 2324 Metros Santa María 58 SO PRIVADO NOCONTROL RANO SACF CIVIL Nacional NO NO CATAMARCA NO"
"CAM Aeródromo CORRALITO/ALFONSO MENGO 32° 1'28""S  64°16'46""W -64,27944444 -32,02444444 545 Metros Corralito 7 O PRIVADO NOCONTROL RANO SACF AEROAPP Nacional NO NO CÓRDOBA NO"
"CAT SANC CTC Aeródromo CATAMARCA 28°35'35""S  65°45' 4""W -65,75111111 -28,59305556 464 Metros San Fernando del Valle de Catamarca 15 SSE PUBLICO CONTROL RANO SACF CIVIL Nacional SI SI CATAMARCA NO"
"CAY Aeródromo SAN CAYETANO 38°20' 2""S  59°37'49""W -59,63027778 -38,33388889 100 Metros San Cayetano 1,5 ONO PRIVADO NOCONTROL RACE SAEF Nacional NO NO BUENOS AIRES NO"
"CBA SACO COR Aeródromo CÓRDOBA/ING. AER. A. L. V. TARAVELLA 31°18'36""S  64°12'30""W -64,20833333 -31,31 489 Metros Córdoba 9 NNO PUBLICO CONTROL RANO SACF CIVIL Internacional SI SI CÓRDOBA NO"
"CBB Aeródromo CAÑADA ROSQUIN/ByB SERVICIOS AGROPECUARIOS 32° 6'42""S  61°37'55""W -61,63196 -32,11159 73 Metros Cañada Rosquín 7 SSO PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO SANTA FÉ NO"
"CBD Aeródromo CABILDO 38°29'55""S  61°53' 3""W -61,88416667 -38,49861111 159 Metros Cabildo 1,5 SE PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"CCA SATU UZU Aeródromo CURUZÚ CUATIÁ 29°46'21""S  57°58'58""W -57,98277778 -29,7725 70 Metros Curuzú Cuatiá 4 ENE PUBLICO AERADIO RANE SARR CIVIL Nacional NO NO CORRIENTES NO"
"CCH Aeródromo CARLOS CASARES/HAYDEE 35°40'12""S  61°24'20""W -61,405525 -35,6698945 82 Metros Carlos Casares 6 SW PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO BUENOS AIRES NO"
"CCI Aeródromo CALCHAQUÍ 29°51' 6""S  60°17'31""W -60,29201667 -29,85157222 56 Metros Calchaquí 4 N PRIVADO NOCONTROL RANE SARR CIVIL Nacional NO NO SANTA FÉ NO"
"CCM Aeródromo CARLOS CASARES/MALATINI 35°34' 9""S  61°22' 6""W -61,36821 -35,56915 82 Metros Carlos Casares 6 N PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"CCO Aeródromo CARLOS CASARES/OTTAVIANI 35°38'53""S  61°21' 1""W -61,35038 -35,64817 82 Metros Carlos Casares 2 SSE PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO BUENOS AIRES NO"
"CCP Aeródromo CONCEPCIÓN 27°20'41""S  65°37' 1""W -65,61694444 -27,34472222 386 Metros Concepción 2,4 O PRIVADO NOCONTROL RANO SACF CIVIL Nacional NO NO TUCUMÁN NO"
"CCS Aeródromo CACHI 25° 6'19""S  66° 9'26""W -66,1572 -25,10518 2510 Metros Cachi 2 NO PRIVADO NOCONTROL RANO SACF CIVIL Nacional NO NO SALTA NO"
"CDA Aeródromo SARGENTO CABRAL/CONDOR DEL AIRE 33°27'57""S  60°37'43""W -60,62857 -33,46586 56 Metros Sargento Cabral 4 S PRIVADO NOCONTROL RACE SAEF AEROAPP Nacional NO NO SANTA FÉ NO"
"CDI Aeródromo CARCARAÑÁ/DI GIUSEPPE 32°53'28""S  61° 7'27""W -61,12414 -32,89099 89 Metros Carcarañá 5 SE PRIVADO NOCONTROL RACE SAEF CIVIL Nacional NO NO SANTA FÉ NO"
"CDL Aeródromo CAÑADA DE LUQUE/BIONDI 30°45'28""S  63°44'53""W -63,74818 -30,75769 249 Metros Cañada de Luque 3 SW PRIVADO NOCONTROL RANO SACF AEROAPP Nacional NO NO CÓRDOBA NO"
"CDS Aeródromo CAÑADÓN SECO 46°32'17""S  67°33'35""W -67,55972222 -46,53805556 90 Metros Cañadón Seco 5 NE PRIVADO NOCONTROL RASU SAVF CIVIL Nacional NO NO SANTA CRUZ NO"
"CDU Aeródromo CONCEPCIÓN DEL URUGUAY 32°27'18""S  58°18'24""W -58,30666667 -32,455 34 Metros Concepción del Uruguay 8 NO PUBLICO NOCONTROL RACE SAEF CIVIL Nacional NO NO ENTRE RÍOS NO"
